1	6	0.32888
1	10	0.68913
1	12	0.83834
1	14	0.77255
1	17	0.54519
1	20	0.56334
1	23	0.79929
1	24	0.67787
1	27	0.43416
1	31	0.68693
1	33	0.57717
1	36	0.025321
1	39	0.54812
1	44	0.53919
1	47	0.69992
1	49	0.48414
1	51	0.51793
1	53	0.61378
1	54	0.48838
1	56	0.85122
1	60	0.6588
1	61	0.60799
1	62	0.52149
1	64	0.84429
1	65	0.68631
1	67	0.48526
1	69	0.81217
1	70	0.80454
1	72	0.56129
1	73	0.59249
1	74	0.10035
1	76	0.46831
1	78	0.10128
1	80	0.24679
1	81	0.6698
1	82	0.74262
1	84	0.12566
1	85	0.37892
1	86	0.76892
1	90	0.52641
1	91	0.70105
1	92	0.65478
1	96	0.80702
1	97	0.77394
1	98	0.8628
1	100	0.89825
1	102	0.36662
1	103	0
1	104	0
1	107	0.39826
1	108	0.40888
1	112	0.07705
1	113	0.20885
1	114	0.64972
1	117	0.77639
1	118	0.65593
1	120	0.17053
1	121	0.76124
1	125	0.68406
1	128	0.50209
1	129	0.71245
1	130	0.21789
1	132	0.79603
1	134	0.7975
1	140	0.37908
1	143	0.7576
1	145	0.23104
1	148	0.38744
1	150	0.73649
1	151	0.80689
1	154	0.72128
1	155	0.4767
1	157	0.69522
1	159	0.48824
1	160	0.55576
1	161	0.67402
1	163	0.61563
1	164	0.65549
1	170	0.7469
1	171	0.64494
1	174	0.86043
1	175	0.77511
1	177	0.71055
1	180	0.80566
1	183	0.8147
1	184	0.60986
1	185	0.81084
1	186	0.79583
1	188	0.7289
1	189	0.6226
1	190	0.74873
1	193	0.74523
1	196	0.79057
1	200	0.76734
1	201	0.60791
1	202	0.786
1	206	0.4878
1	208	0.76121
1	209	0.77553
1	210	0.81416
1	212	0.6527
1	213	0.74317
1	214	0.60756
1	215	0.74058
1	218	0.66402
1	219	0.54562
1	221	0.62968
1	222	0.79928
1	224	0.48937
1	225	0.37864
1	226	0.60547
1	227	0.62639
1	228	0.75498
1	229	0.55569
1	230	0.66243
1	232	0.45871
1	233	0.56778
1	235	0.61797
1	236	0.4809
1	241	0.63418
1	242	0.64142
1	243	0.25551
1	248	0.73793
1	250	0.71175
1	252	0.51579
1	253	0.27995
1	254	0.25912
1	255	0.6133
1	258	0.8193
1	259	0.41297
1	260	0.3343
1	262	0.50983
1	264	0.19303
1	265	0.74947
1	266	0.11154
1	267	0.039528
1	272	0.69423
2	13	0.54947
2	19	0.53479
2	50	0.66538
2	251	0.38361
2	257	0.64455
2	279	0.19994
2	280	0.34404
2	281	0.42124
2	290	0.37845
2	292	0.6135
2	297	0.4479
2	298	0.61216
2	299	0.38306
2	301	0.68124
2	303	0.63225
2	307	0.66424
2	308	0.34638
2	312	0.46514
2	313	0.75385
2	314	0
2	315	0.68309
2	316	0.61591
3	245	0.4346
3	264	0.33786
3	272	0.47978
3	294	0.42407
3	299	0.32693
3	300	0.49256
3	307	0.47354
3	318	0.2212
3	323	0.39968
3	324	0.37396
3	327	0.45858
3	328	0.45649
3	330	0.25974
3	331	0.43247
3	332	0.44338
3	334	0.33923
3	335	0.163
3	337	0.13132
3	341	0.13438
3	343	0.38123
3	345	0.36032
3	348	0.23278
3	349	0.23694
3	350	0.32704
3	351	0.12878
3	354	0.31511
4	50	0.33877
4	260	0.35841
4	264	0.35366
4	288	0.47962
